lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true
22.0,24.0,58.567352,15.799999,21.19284,15.4998779296875,21.588953018188477
22.0,24.0,172.72719,17.099998,22.08052,15.499994277954102,24.015029907226562
22.0,24.0,121.61667,18.0,22.622295,15.499998092651367,19.39734649658203
22.0,24.0,326.3605,19.0,21.575459,15.49993896484375,18.31487274169922
22.0,24.0,318.3818,19.8,21.5347,15.5,21.379535675048828
22.0,24.0,502.8356,20.7,22.347214,15.49999713897705,22.75379753112793
22.0,24.0,527.05194,21.399998,22.874561,15.5,19.335102081298828
22.0,24.0,638.5913,22.200005,22.088417,15.499994277954102,18.751535415649414
22.0,24.0,658.9124,22.900002,22.161514,15.499979019165039,18.498266220092773
22.0,24.0,697.2725,23.600002,22.284588,15.5,21.323354721069336
22.0,24.0,681.4563,24.099998,22.888306,15.499988555908203,19.829605102539062
22.0,24.0,642.4392,24.599998,22.613453,15.499998092651367,20.392580032348633
22.0,24.0,637.7337,24.899994,22.764725,15.499961853027344,18.29427719116211
22.0,24.0,585.95856,25.299995,22.730171,15.499999046325684,23.736621856689453
22.0,24.0,564.1478,25.5,23.983027,15.499996185302734,20.1687068939209
22.0,24.0,427.37067,25.700005,22.976517,15.499990463256836,20.52412223815918
22.0,24.0,404.5249,25.700005,23.001442,15.5,20.429161071777344
22.0,24.0,253.80815,25.800003,22.961403,15.499990463256836,18.81863784790039
22.0,24.0,241.41899,25.599998,22.85566,15.499999046325684,19.431697845458984
22.0,24.0,121.59039,25.400002,22.795868,15.499990463256836,19.340574264526367
22.0,24.0,111.02979,25.100006,22.730932,15.499999046325684,19.623016357421875
22.0,24.0,49.500004,24.700005,22.427052,15.499873161315918,20.26443099975586
22.0,24.0,84.07869,24.700005,22.43504,15.499994277954102,21.202783584594727
22.0,24.0,16.5,22.5,22.655043,15.499818801879883,22.534692764282227
22.0,24.0,19.435774,21.399998,23.059435,15.4999361038208,18.28873634338379
22.0,24.0,12.69592,20.299995,22.1016,15.499319076538086,22.102691650390625
22.0,24.0,0.0,19.899998,22.788261,15.499995231628418,23.176366806030273
22.0,24.0,0.0,19.599998,23.035275,15.499972343444824,22.46514892578125
22.0,24.0,0.0,19.400002,22.776947,15.499913215637207,24.531600952148438
22.0,24.0,0.0,19.3,23.198473,15.499958992004395,18.565750122070312
22.0,24.0,0.0,19.099998,21.838974,15.499970436096191,23.473691940307617
22.0,24.0,0.0,19.0,22.845894,15.499289512634277,22.651599884033203
22.0,24.0,0.0,18.699997,22.696072,15.499969482421875,18.658458709716797
22.0,24.0,0.0,18.400002,21.666576,15.491128921508789,25.97207260131836
22.0,24.0,0.0,18.2,23.109184,15.496150970458984,24.34776496887207
22.0,24.0,0.0,17.900002,22.930565,15.45278549194336,24.736064910888672
22.0,24.0,0.0,17.7,22.983345,15.49216079711914,23.366079330444336
22.0,24.0,0.0,17.5,22.736399,15.481391906738281,23.98747444152832
22.0,24.0,0.0,17.399998,22.81565,15.486685752868652,22.685928344726562
22.0,24.0,0.0,17.3,22.570854,15.498835563659668,22.75870704650879
22.0,24.0,0.0,17.200005,22.545713,15.494880676269531,23.699718475341797
22.0,24.0,0.0,17.099998,22.689312,15.499396324157715,21.321361541748047
22.0,24.0,0.0,17.099998,22.042877,15.495017051696777,24.219207763671875
22.0,24.0,0.0,17.200005,22.698582,15.498719215393066,25.151105880737305
22.0,24.0,1.32,17.900002,22.905132,15.474750518798828,19.378952026367188
22.0,24.0,35.151554,18.600002,21.500175,15.496467590332031,19.495670318603516
22.0,24.0,52.1189,19.400002,21.492876,15.499382019042969,21.570499420166016
22.0,24.0,103.170586,20.2,22.134853,15.499436378479004,19.115612030029297
22.0,24.0,118.21191,21.300003,21.447601,15.495643615722656,20.46784782409668
22.0,24.0,215.51186,22.399998,22.04916,15.499998092651367,19.77663230895996
22.0,24.0,206.54668,24.0,21.861946,15.5,22.615840911865234
22.0,24.0,311.31107,25.599998,22.846357,15.499982833862305,22.1346435546875
22.0,24.0,325.63916,26.699997,22.802603,15.499994277954102,25.40078353881836
22.0,24.0,435.52914,27.799995,23.71023,15.49999713897705,20.874250411987305
22.0,24.0,454.59378,28.400002,22.6059,15.499996185302734,24.25722885131836
22.0,24.0,580.42065,29.0,23.846157,15.499999046325684,25.222415924072266
22.0,24.0,619.7804,29.400002,24.290897,15.499998092651367,18.513662338256836
22.0,24.0,663.726,29.800003,23.068691,15.499994277954102,18.643659591674805
22.0,24.0,674.8781,30.0,23.120403,15.499991416931152,18.29191017150879
22.0,24.0,671.7087,30.199997,23.21641,15.499995231628418,19.030256271362305
22.0,24.0,665.6367,30.199997,23.323267,15.499996185302734,22.090059280395508
22.0,24.0,586.19415,30.299995,23.826683,15.499884605407715,19.568544387817383
22.0,24.0,572.1825,30.299995,23.507889,15.499998092651367,18.636621475219727
22.0,24.0,454.8861,30.299995,23.482971,15.499979019165039,18.274566650390625
22.0,24.0,414.3495,30.199997,23.478004,15.499995231628418,19.416887283325195
22.0,24.0,199.23274,30.100006,23.423649,15.499987602233887,23.7847900390625
22.0,24.0,261.67007,30.0,24.485493,15.499996185302734,19.08605194091797
22.0,24.0,114.34582,29.899994,23.432592,15.499998092651367,19.6267147064209
22.0,24.0,115.26994,29.5,23.32595,15.499998092651367,21.906187057495117
22.0,24.0,50.473793,29.099998,23.42358,15.499853134155273,21.298477172851562
22.0,24.0,9.822621,29.099998,23.131845,15.499943733215332,18.30263328552246
22.0,24.0,7.7539005,26.900002,22.791283,15.499953269958496,18.90550422668457
22.0,24.0,4.8839803,26.0,22.668644,15.499018669128418,19.268081665039062
22.0,24.0,3.3517797,25.199997,22.561031,15.499601364135742,20.154300689697266
22.0,24.0,0.0,24.5,22.519817,15.49996280670166,21.046710968017578
